MSFT,AAPL,AMZN
227.165434,121.249019,2997.162124
227.202651,121.219008,2993.437901
227.006548,121.135471,2993.814085
227.112396,121.136484,2994.57648
227.059558,121.112996,2998.162756
226.793136,121.086211,3003.679758
226.852568,120.988586,3006.433021
226.7709,121.160802,3008.714607
226.648712,121.109694,3007.121536
226.863479,121.108462,3008.293635
226.790733,121.062999,3011.958737
226.98985,121.163606,3017.078668
227.180268,121.163117,3019.840713
227.450121,121.158078,3019.5261
227.93148,121.001352,3023.435244
227.970861,120.909328,3024.956109
227.811757,120.75056,3028.510457
227.892049,120.719153,3030.682682
227.394549,120.734574,3033.026449
227.230586,120.756339,3036.405099
227.644911,120.755321,3038.348245
227.637646,120.818831,3037.530823
227.667609,120.915095,3037.95182
227.387603,120.949017,3035.601872
227.445332,120.916709,3035.612185
227.808989,120.886991,3039.515404
227.485659,120.931997,3041.689776
227.73565,120.881849,3042.445164
227.50899,120.988552,3040.89477
227.64306,120.99689,3044.658554
227.69991,121.021071,3050.236159
227.619693,121.109903,3049.084557
227.551445,121.093384,3048.82647
227.383528,121.256138,3048.141647
227.153052,121.344256,3048.07362
227.35406,121.450188,3047.980181
227.21881,121.41102,3039.486594
227.305978,121.398892,3034.262697
227.134066,121.40739,3033.513055
227.160548,121.409474,3034.338237
227.062723,121.456537,3040.968371
227.24284,121.350475,3046.969631
226.898974,121.362516,3044.981524
226.59526,121.430449,3042.736292
226.57197,121.539107,3046.870856
226.55021,121.591101,3050.688943
226.52075,121.60969,3050.832344
226.554073,121.71911,3050.712164
226.58302,121.686664,3048.94301
226.540323,121.665823,3049.987292
226.501298,121.553765,3045.036249
226.52307,121.499057,3040.358302
226.553331,121.482256,3041.027108
226.544124,121.487821,3039.1246
226.667524,121.518117,3034.846365
226.908975,121.417258,3033.991507
227.054556,121.244974,3034.958734
227.196195,121.093532,3031.498462
227.254956,121.049671,3029.899722
227.162742,121.068763,3032.477257
227.55752,121.208145,3033.067436
227.25622,121.248964,3038.24898
227.448934,121.364949,3041.04204
227.219842,121.825638,3043.126639
227.228487,121.702352,3041.045434
227.38116,121.803254,3045.023273
227.079693,121.724265,3044.601561
226.861677,121.788562,3042.882095
227.153912,121.913454,3042.222687
227.377671,122.033517,3039.964138
227.761803,121.988585,3041.391584
228.026225,121.851491,3038.328531
228.374339,121.811508,3039.941607
228.160775,121.784155,3046.167693
228.439486,121.771773,3047.004941
228.733459,121.796643,3044.708012
228.567988,121.747018,3043.313426
228.956282,121.689773,3039.72737
228.963907,121.758477,3040.097089
228.732952,121.841143,3042.993567
228.379687,121.898333,3046.671934
